,Location,Item_Name,BidPrice,ID,BuyNowPricee
0,Auckland,Sony Z5 Xperia Premium E6853 Brand New + 1 Year Warranty,$639.00,1356937527,$639.00
1,Wellington,Samsung Galaxy S5 mini (Spark)----- only $299.99!!,$299.00,1353014621,$299.99
2,Auckland,Sony E2053 Xperia E4g Black NZ NEW Phone #,$189.00,1353019496,$189.00
3,Auckland,Huawei GT3 NMO-L22 Gray Unlocked Phone #,$279.00,1353019497,$279.00
4,Auckland,Samsung G389f Galaxy Xcover 3 NZ NEW Phone #,$299.00,1353019498,$299.00
5,Auckland,Mint Condition Sony Z2 D6503+6mth warty 3 colors,$299.00,1350812243,$299.00
6,Auckland,iPhone 7 Gold 128G,"$1,129",1354002399,"$1,149"
7,Auckland,Alcatel 4018M One Touch POP D1 Green Unlocked #,$49.00,1353019494,$49.00
9,Auckland,Samsung J111M Galaxy J1 Ace 2016 Unlocked Phone #,$179.00,1353096065,$179.00
10,Auckland,Huawei Y360 Y3 Black NZ NEW UNLOCKED Phone #,$79.00,1353104439,$79.00
11,Auckland,Samsung Galaxy S7 Edge G935F 32GB Ceramic White Brand NEW,$799.00,1356980301,$799.00
12,Auckland,OnePlus 3T 128GB Midnight Black Limited Edition,$819.00,1350868598,$819.00
13,Auckland,Huawei P8 Champagne 16GB NZ NEW Sealed #,$449.00,1355471809,$449.00
14,Auckland,Huawei G8 32GB Grey Dual SIM !! BRAND NEW !!!,$449.00,1353106754,$449.00
15,Auckland,Samsung G900F Galaxy S5 16GB White #,$449.00,1353968828,$449.00
16,Waikato,Brand New - Iphone 6S 64GB GOLD - 6Month WARRANTY,$729.00,1353122723,$729.00
17,Auckland,Mint Condition Sony Z2 D6503+6mth warty 3 colors,$299.00,1357075624,$299.00
18,Canterbury,Geotel A1 Rugged Smart Phone - Android 7.0,BuyNowOnly,1350952091,$169.00
19,Auckland,Huawei G8 32GB Champagne Dual SIM !! BRAND NEW !!!,$449.00,1353129768,$449.00
20,Canterbury,Samsung Gear VR 2nd Gen,$90.00,1353137629,$100.00
22,Auckland,Apple iPhone SE 16GB Gold Sealed NZ NEW #,$599.00,1353992026,$599.00
23,Canterbury,Geotel A1 Rugged Smart Phone - Android 7.0,BuyNowOnly,1350952545,$149.00
24,Auckland,Samsung Galaxy S6 G920 32GB Monoco White Brand NEW,$549.00,1354891193,$549.00
25,Auckland,Vodafone Zte F320 New,$24.00,1356971465,$24.00
26,Auckland,HTC One Mini 16GB Silver + Warranty + FREE &amp; FAST SHIPPING,$254.00,1353153470,$254.98
27,Auckland,Huawei P10 Lite Black 32Gb Nz New Phone #,$508.00,1354005250,$508.00
28,Auckland,Samsung G930FD Galaxy S7 32GB Gold Dual Sim Phone #,$779.00,1354017205,$779.00
30,Auckland,iPhone 7 128G Rose Gold,"$1,129",1354283843,"$1,149"
31,Auckland,iphone7 256GB BRAND NEW,"$1,399",1353192830,"$1,399"
32,Auckland,Samsung Galaxy Note Edge SM-N915G 32GB PEARL WHITE + FREE SHIPPING / PICK UP,$574.00,1353193655,$574.98
33,Hawke's Bay,Samsung galaxy s8,"$1,050",1356294700,"$1,050"
34,Waikato,Spark R84 Rugged - Unlocked - NEW,$400.00,1355564975,$420.00
36,Wairarapa,Samsung J2 Prime Gold locked -Brand New,$140.00,1353507346,$150.00
37,Auckland,"Genuine Blackview Ultra Android Smartphone 4.7"", 3G, 8GB (storage) - ROSE GOLD",$149.00,1353207771,$149.00
38,Auckland,"Genuine Blackview Ultra Android Smartphone 4.7"", 3G, 8GB (storage) - SILVER",$149.00,1353207776,$149.00
39,Auckland,Huawei Honor 5A 5.5 inch Black Dual Phone #,$265.00,1353217434,$265.00
40,Auckland,LG K430DSY K10 Dual Sim Black Phone #,$249.00,1353224494,$249.00
41,Auckland,iPhone 6s Plus,$939.00,1357310393,$959.00
42,Auckland,iPhone 6s,$759.00,1353716211,$769.00
44,Auckland,Alcatel Flip-Phone,$105.00,1353228684,BidOnly
45,Canterbury,New in-box iPhone 7 128 GB - Matt Black,"$1,149",1353230777,"$1,159"
46,Auckland,LG Stylus 16GB Smartphone Titan Grey,$499.00,1353233585,$499.00
48,Auckland,iPhone 6,$529.00,1353801633,$539.00
49,Auckland,Samsung Galaxy J3 2016 Smartphone (Black),$249.99,1353233769,$249.99
53,Auckland,Samsung Galaxy S7 Edge G935F 32GB Ceramic White Brand NEW,$799.00,1357550736,$799.00
54,Auckland,Sony Z5 Xperia Premium E6853 Brand New + 1 Year Warranty,$639.00,1355341214,$639.00
56,Wanganui,Phone Car Holder Buckle Convenient Finger Handle,BuyNowOnly,1356331488,$5.90
58,Auckland,Moto G5 Plus * 4GB RAM 64GB Memory * Android 7.0 * Free Courier!!,BuyNowOnly,1357090551,$559.00
59,Auckland,"Apple iPhone 6 ""As new"" Condition 128GB Gold Original Accessories",BuyNowOnly,1353857033,$595.00
60,Auckland,Sony Z5 Xperia Premium E6853 Brand New + 1 Year Warranty,$639.00,1356937527,$639.00
61,Wellington,Samsung Galaxy S5 mini (Spark)----- only $299.99!!,$299.00,1353014621,$299.99
62,Auckland,Sony E2053 Xperia E4g Black NZ NEW Phone #,$189.00,1353019496,$189.00
63,Auckland,Huawei GT3 NMO-L22 Gray Unlocked Phone #,$279.00,1353019497,$279.00
64,Auckland,Samsung G389f Galaxy Xcover 3 NZ NEW Phone #,$299.00,1353019498,$299.00
65,Auckland,Mint Condition Sony Z2 D6503+6mth warty 3 colors,$299.00,1350812243,$299.00
66,Auckland,iPhone 7 Gold 128G,"$1,129",1354002399,"$1,149"
67,Auckland,Alcatel 4018M One Touch POP D1 Green Unlocked #,$49.00,1353019494,$49.00
69,Auckland,Samsung J111M Galaxy J1 Ace 2016 Unlocked Phone #,$179.00,1353096065,$179.00
70,Auckland,Huawei Y360 Y3 Black NZ NEW UNLOCKED Phone #,$79.00,1353104439,$79.00
71,Auckland,Samsung Galaxy S7 Edge G935F 32GB Ceramic White Brand NEW,$799.00,1356980301,$799.00
72,Auckland,OnePlus 3T 128GB Midnight Black Limited Edition,$819.00,1350868598,$819.00
73,Auckland,Huawei P8 Champagne 16GB NZ NEW Sealed #,$449.00,1355471809,$449.00
74,Auckland,Huawei G8 32GB Grey Dual SIM !! BRAND NEW !!!,$449.00,1353106754,$449.00
75,Auckland,Samsung G900F Galaxy S5 16GB White #,$449.00,1353968828,$449.00
76,Waikato,Brand New - Iphone 6S 64GB GOLD - 6Month WARRANTY,$729.00,1353122723,$729.00
77,Auckland,Mint Condition Sony Z2 D6503+6mth warty 3 colors,$299.00,1357075624,$299.00
78,Canterbury,Geotel A1 Rugged Smart Phone - Android 7.0,BuyNowOnly,1350952091,$169.00
79,Auckland,Huawei G8 32GB Champagne Dual SIM !! BRAND NEW !!!,$449.00,1353129768,$449.00
80,Canterbury,Samsung Gear VR 2nd Gen,$90.00,1353137629,$100.00
82,Auckland,Apple iPhone SE 16GB Gold Sealed NZ NEW #,$599.00,1353992026,$599.00
83,Canterbury,Geotel A1 Rugged Smart Phone - Android 7.0,BuyNowOnly,1350952545,$149.00
84,Auckland,Samsung Galaxy S6 G920 32GB Monoco White Brand NEW,$549.00,1354891193,$549.00
85,Auckland,Vodafone Zte F320 New,$24.00,1356971465,$24.00
86,Auckland,HTC One Mini 16GB Silver + Warranty + FREE &amp; FAST SHIPPING,$254.00,1353153470,$254.98
87,Auckland,Huawei P10 Lite Black 32Gb Nz New Phone #,$508.00,1354005250,$508.00
88,Auckland,Samsung G930FD Galaxy S7 32GB Gold Dual Sim Phone #,$779.00,1354017205,$779.00
90,Auckland,iPhone 7 128G Rose Gold,"$1,129",1354283843,"$1,149"
91,Auckland,iphone7 256GB BRAND NEW,"$1,399",1353192830,"$1,399"
92,Auckland,Samsung Galaxy Note Edge SM-N915G 32GB PEARL WHITE + FREE SHIPPING / PICK UP,$574.00,1353193655,$574.98
93,Hawke's Bay,Samsung galaxy s8,"$1,050",1356294700,"$1,050"
94,Waikato,Spark R84 Rugged - Unlocked - NEW,$400.00,1355564975,$420.00
96,Wairarapa,Samsung J2 Prime Gold locked -Brand New,$140.00,1353507346,$150.00
97,Auckland,"Genuine Blackview Ultra Android Smartphone 4.7"", 3G, 8GB (storage) - ROSE GOLD",$149.00,1353207771,$149.00
98,Auckland,"Genuine Blackview Ultra Android Smartphone 4.7"", 3G, 8GB (storage) - SILVER",$149.00,1353207776,$149.00
99,Auckland,Huawei Honor 5A 5.5 inch Black Dual Phone #,$265.00,1353217434,$265.00
100,Auckland,LG K430DSY K10 Dual Sim Black Phone #,$249.00,1353224494,$249.00
101,Auckland,iPhone 6s Plus,$939.00,1357310393,$959.00
102,Auckland,iPhone 6s,$759.00,1353716211,$769.00
104,Auckland,Alcatel Flip-Phone,$105.00,1353228684,BidOnly
105,Canterbury,New in-box iPhone 7 128 GB - Matt Black,"$1,149",1353230777,"$1,159"
106,Auckland,LG Stylus 16GB Smartphone Titan Grey,$499.00,1353233585,$499.00
108,Auckland,iPhone 6,$529.00,1353801633,$539.00
109,Auckland,Samsung Galaxy J3 2016 Smartphone (Black),$249.99,1353233769,$249.99
113,Auckland,Samsung Galaxy S7 Edge G935F 32GB Ceramic White Brand NEW,$799.00,1357550736,$799.00
114,Auckland,Sony Z5 Xperia Premium E6853 Brand New + 1 Year Warranty,$639.00,1355341214,$639.00
116,Auckland,Moto G5 Plus * 4GB RAM 64GB Memory * Android 7.0 * Free Courier!!,BuyNowOnly,1357090551,$559.00
117,Wanganui,Phone Car Holder Buckle Convenient Finger Handle,BuyNowOnly,1356331488,$5.90
118,Wanganui,USB Data Sync Charger Cable Lead,BuyNowOnly,1356331394,$3.50
119,Auckland,"Apple iPhone 6 ""As new"" Condition 128GB Gold Original Accessories",BuyNowOnly,1353857033,$595.00
121,Auckland,Moto G5 Plus * 4GB RAM 64GB Memory * Android 7.0 * Free Courier!!,BuyNowOnly,1357090551,$559.00
122,Auckland,Nokia Lumia Icon 929 * Windows 10 * 20MP Pureview Camera * Worldwide Unlocked,BuyNowOnly,1357091019,$369.00
123,Auckland,Moto G5 Plus * 2GB RAM 32GB Memory * Android 7.0 * Free Courier!!,BuyNowOnly,1357092529,$489.00
127,Auckland,Microsoft Lumia 950 * Windows 10 * 20MP Pureview Camera * Worldwide Unlocked,BuyNowOnly,1357091998,$419.00
135,Auckland,Motorola Moto G4 Play 16GB 2GB * Free Courier!!,BuyNowOnly,1357091551,$269.00
136,Auckland,ASUS Zenfone 3 Max * 4130mAh Battery!! * Dual SIM!!,BuyNowOnly,1357090170,$379.00
139,Auckland,Moto G5 Plus * 2GB RAM 32GB Memory * Android 7.0 * Free Courier!!,BuyNowOnly,1357090236,$489.00
